Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Root"," (module)"," (module)",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller"," (module)"," (module)",1,0.00,0.00,0.00,0.00,"__init__.py",
"Root"," (module)"," (module)",1,0.16,0.03,218.26,44.63,"__init__.py",
"Caller"," (module)","pygame.pkgdata (module)",1,0.16,0.03,218.26,44.63,"pkgdata.py",
"Callee"," (module)"," (module)",1,0.00,0.00,0.43,0.42,"__init__.py",
"Callee"," (module)"," (module)",1,0.00,0.00,0.00,0.00,"__init__.py",
"Callee"," (module)","._call_aside",2,0.01,0.00,5.74,0.02,"__init__.py",
"Callee"," (module)","._declare_state",3,0.00,0.00,0.00,0.00,"__init__.py",
"Callee"," (module)",".register_finder",3,0.00,0.00,0.00,0.00,"__init__.py",
"Callee"," (module)",".register_loader_type",3,0.00,0.00,0.00,0.00,"__init__.py",
"Callee"," (module)",".register_namespace_handler",3,0.00,0.00,0.00,0.00,"__init__.py",
"Callee"," (module)","__build_class__",32,0.01,0.00,0.30,0.04,"builtins",
"Callee"," (module)","__future__ (module)",1,0.00,0.00,0.15,0.06,"__future__.py",
"Callee"," (module)","copyreg.pickle",1,0.00,0.00,0.00,0.00,"copyreg.py",
"Callee"," (module)","email (module)",1,0.00,0.00,0.00,0.00,"__init__.py",
"Callee"," (module)","email.parser (module)",1,0.05,0.00,67.26,0.79,"parser.py",
"Callee"," (module)","EmptyProvider.__init__",1,0.00,0.00,0.00,0.00,"__init__.py",
"Callee"," (module)","globals",1,0.00,0.00,0.00,0.00,"builtins",
"Callee"," (module)","pkgutil (module)",1,0.00,0.00,0.30,0.13,"pkgutil.py",
"Callee"," (module)","platform (module)",1,0.01,0.00,7.18,3.55,"platform.py",
"Callee"," (module)","plistlib (module)",1,0.01,0.00,6.97,4.00,"plistlib.py",
"Callee"," (module)","re.compile",11,0.00,0.00,0.18,0.00,"re.py",
"Callee"," (module)","specifiers (module)",1,0.01,0.00,13.03,0.44,"specifiers.py",
"Callee"," (module)","symbol (module)",1,0.00,0.00,0.06,0.06,"symbol.py",
"Callee"," (module)","tempfile (module)",1,0.00,0.00,4.70,4.25,"tempfile.py",
"Callee"," (module)","textwrap (module)",1,0.00,0.00,1.11,0.01,"textwrap.py",
"Callee"," (module)","version (module)",1,0.00,0.00,5.60,0.64,"version.py",
"Callee"," (module)","warnings.filterwarnings",1,0.00,0.00,0.06,0.01,"warnings.py",
"Callee"," (module)","zipfile (module)",1,0.03,0.00,43.52,4.13,"zipfile.py",
"Root"," (module)"," (module)",1,0.00,0.00,0.43,0.42,"__init__.py",
"Caller"," (module)"," (module)",1,0.00,0.00,0.43,0.42,"__init__.py",
"Callee"," (module)","__about__ (module)",1,0.00,0.00,0.01,0.01,"__about__.py",
"Root",".__new__",".__new__",1,0.00,0.00,1.82,0.05,"__init__.py",
"Caller",".__new__",".build",1,0.00,0.00,1.82,0.05,"__init__.py",
"Callee",".__new__","hasattr",1,0.00,0.00,0.00,0.00,"builtins",
"Callee",".__new__","zipfile.ZipFile.__init__",1,0.00,0.00,1.77,0.06,"zipfile.py",
"Root","._build_master","._build_master",1,0.01,0.00,7.84,0.04,"__init__.py",
"Caller","._build_master","._initialize_master_working_set",1,0.01,0.00,7.84,0.04,"__init__.py",
"Callee","._build_master","WorkingSet.__init__",1,0.01,0.00,7.80,0.03,"__init__.py",
"Root","._call_aside","._call_aside",2,0.01,0.00,5.74,0.02,"__init__.py",
"Caller","._call_aside"," (module)",2,0.01,0.00,5.74,0.02,"__init__.py",
"Callee","._call_aside","._initialize",1,0.00,0.00,0.07,0.03,"__init__.py",
"Callee","._call_aside","._initialize_master_working_set",1,0.01,0.00,11.37,0.09,"__init__.py",
"Root","._declare_state","._declare_state",4,0.00,0.00,0.00,0.00,"__init__.py",
"Caller","._declare_state"," (module)",3,0.00,0.00,0.00,0.00,"__init__.py",
"Caller","._declare_state","._initialize_master_working_set",1,0.00,0.00,0.00,0.00,"__init__.py",
"Callee","._declare_state","dict.update",8,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee","._declare_state","globals",4,0.00,0.00,0.00,0.00,"builtins",
"Callee","._declare_state","type.fromkeys",4,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root","._find_adapter","._find_adapter",16,0.00,0.00,0.00,0.00,"__init__.py",
"Caller","._find_adapter",".find_distributions",14,0.00,0.00,0.00,0.00,"__init__.py",
"Caller","._find_adapter",".get_provider",2,0.00,0.00,0.00,0.00,"__init__.py",
"Callee","._find_adapter","._get_mro",16,0.00,0.00,0.00,0.00,"__init__.py",
"Callee","._find_adapter","getattr",16,0.00,0.00,0.00,0.00,"builtins",
"Root","._get_mro","._get_mro",16,0.00,0.00,0.00,0.00,"__init__.py",
"Caller","._get_mro","._find_adapter",16,0.00,0.00,0.00,0.00,"__init__.py",
"Callee","._get_mro","isinstance",16,0.00,0.00,0.00,0.00,"builtins",
"Root","._initialize","._initialize",1,0.00,0.00,0.07,0.03,"__init__.py",
"Caller","._initialize","._call_aside",1,0.00,0.00,0.07,0.03,"__init__.py",
"Callee","._initialize","dir",1,0.00,0.00,0.03,0.03,"builtins",
"Callee","._initialize","getattr",13,0.00,0.00,0.00,0.00,"builtins",
"Callee","._initialize","ResourceManager.__init__",1,0.00,0.00,0.00,0.00,"__init__.py",
"Callee","._initialize","str.startswith",38,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root","._initialize_master_working_set","._initialize_master_working_set",1,0.01,0.00,11.37,0.09,"__init__.py",
"Caller","._initialize_master_working_set","._call_aside",1,0.01,0.00,11.37,0.09,"__init__.py",
"Callee","._initialize_master_working_set","._build_master",1,0.01,0.00,7.84,0.04,"__init__.py",
"Callee","._initialize_master_working_set","._declare_state",1,0.00,0.00,0.00,0.00,"__init__.py",
"Callee","._initialize_master_working_set","dict.update",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee","._initialize_master_working_set","globals",1,0.00,0.00,0.00,0.00,"builtins",
"Callee","._initialize_master_working_set","locals",1,0.00,0.00,0.00,0.00,"builtins",
"Callee","._initialize_master_working_set","WorkingSet.add_entry",7,0.00,0.00,0.35,0.00,"__init__.py",
"Callee","._initialize_master_working_set","WorkingSet.subscribe",1,0.00,0.00,0.95,0.04,"__init__.py",
"Root","._normalize_cached","._normalize_cached",44,0.00,0.00,0.01,0.00,"__init__.py",
"Caller","._normalize_cached",".<listcomp>",28,0.00,0.00,0.00,0.00,"__init__.py",
"Caller","._normalize_cached",".find_on_path",10,0.00,0.00,0.01,0.00,"__init__.py",
"Caller","._normalize_cached",".from_filename",2,0.00,0.00,0.02,0.00,"__init__.py",
"Caller","._normalize_cached","Distribution.insert_on",4,0.00,0.00,0.02,0.00,"__init__.py",
"Callee","._normalize_cached",".normalize_path",10,0.00,0.00,0.02,0.00,"__init__.py",
"Root","._SetuptoolsVersionMixin","._SetuptoolsVersionMixin",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller","._SetuptoolsVersionMixin","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".<genexpr>",".<genexpr>",121,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".<genexpr>",".build",121,0.00,0.00,0.00,0.00,"__init__.py",
"Callee",".<genexpr>","str.replace",120,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Callee",".<genexpr>","zipfile.ZipFile.getinfo",120,0.00,0.00,0.00,0.00,"zipfile.py",
"Root",".<lambda>",".<lambda>",4,0.00,0.00,0.22,0.01,"__init__.py",
"Caller",".<lambda>","WorkingSet.subscribe",4,0.00,0.00,0.22,0.01,"__init__.py",
"Callee",".<lambda>","Distribution.activate",4,0.00,0.00,0.22,0.02,"__init__.py",
"Root",".<listcomp>",".<listcomp>",4,0.00,0.00,0.01,0.00,"__init__.py",
"Caller",".<listcomp>","Distribution.insert_on",4,0.00,0.00,0.01,0.00,"__init__.py",
"Callee",".<listcomp>","._normalize_cached",28,0.00,0.00,0.00,0.00,"__init__.py",
"Root",".build",".build",1,0.00,0.00,2.29,0.22,"__init__.py",
"Caller",".build","MemoizedZipManifests.load",1,0.00,0.00,2.29,0.22,"__init__.py",
"Callee",".build",".__new__",1,0.00,0.00,1.82,0.05,"__init__.py",
"Callee",".build",".<genexpr>",121,0.00,0.00,0.00,0.00,"__init__.py",
"Callee",".build","zipfile.ZipFile.__enter__",1,0.00,0.00,0.00,0.00,"zipfile.py",
"Callee",".build","zipfile.ZipFile.__exit__",1,0.00,0.00,0.07,0.04,"zipfile.py",
"Callee",".build","zipfile.ZipFile.namelist",1,0.00,0.00,0.02,0.02,"zipfile.py",
"Root",".ContextualVersionConflict",".ContextualVersionConflict",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".ContextualVersionConflict","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
