Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Clock.tick","7,907",54.88,54.88,9.37,9.37,"Unidentifiable Method",
"racing-game-fixed.checkCollisionBoxBox","24,400,650",15.53,14.99,0.00,0.00,"racing-game-fixed.py",
"racing-game-fixed.checkCollision","25,548,056",27.44,11.39,0.00,0.00,"racing-game-fixed.py",
"racing-game-fixed.Game.doPhysics","7,907",35.44,5.81,6.05,0.99,"racing-game-fixed.py",
"pygame.Surface.blit","85,019",4.21,4.21,0.07,0.07,"Unidentifiable Method",
"pygame.imageext.load_extended","3,043",1.79,1.79,0.80,0.80,"pygame.imageext",
"pygame.display.flip","7,907",1.10,1.10,0.19,0.19,"pygame.display",
"pygame.event.get","7,907",0.75,0.75,0.13,0.13,"pygame.event",
"pygame.transform.smoothscale","3,043",0.68,0.68,0.30,0.30,"pygame.transform",
"abs","29,332,364",0.54,0.54,0.00,0.00,"builtins",
"racing-game-fixed.checkCollisionBoxInvertedBox","573,703",0.52,0.52,0.00,0.00,"racing-game-fixed.py",
"racing-game-fixed.Car.update","570,621",0.88,0.31,0.00,0.00,"racing-game-fixed.py",
"racing-game-fixed.GUI.blitSurface","589,429",3.92,0.29,0.01,0.00,"racing-game-fixed.py",
"racing-game-fixed.NormalCar.act","562,714",0.56,0.29,0.00,0.00,"racing-game-fixed.py",
"racing-game-fixed.Car.accelerate","570,621",0.28,0.28,0.00,0.00,"racing-game-fixed.py",
"racing-game-fixed.Camera.canSee","589,429",0.27,0.27,0.00,0.00,"racing-game-fixed.py",
"racing-game-fixed.Sprite.display","589,429",4.16,0.24,0.01,0.00,"racing-game-fixed.py",
"pygame.Surface.convert_alpha","3,043",0.19,0.19,0.08,0.08,"Unidentifiable Method",
"pygame.base.quit",1,0.18,0.18,238.18,238.18,"pygame.base",
"racing-game-fixed.Game.removeDead","7,907",0.17,0.16,0.03,0.03,"racing-game-fixed.py",
"racing-game-fixed.Game.draw","7,907",6.35,0.13,1.08,0.02,"racing-game-fixed.py",
"pygame.base.init",2,0.12,0.12,82.31,82.31,"pygame.base",
"racing-game-fixed.Game.update","7,907",1.08,0.11,0.18,0.02,"racing-game-fixed.py",
"racing-game-fixed.Game.loop",1,99.40,0.09,"134,212.79",117.47,"racing-game-fixed.py",
"racing-game-fixed.NormalCar.hit","362,087",2.17,0.08,0.01,0.00,"racing-game-fixed.py",
"pygame.Surface.get_rect","589,429",0.06,0.06,0.00,0.00,"Unidentifiable Method",
" (module)",1,0.16,0.03,218.26,44.63,"__init__.py",
"pygame (module)",1,0.07,0.03,98.13,37.50,"__init__.py",
"racing-game-fixed.Road.update","7,907",0.03,0.03,0.00,0.00,"racing-game-fixed.py",
"racing-game-fixed.Camera.applyOffset","77,112",0.02,0.02,0.00,0.00,"racing-game-fixed.py",
"print",191,0.02,0.02,0.16,0.15,"builtins",
"racing-game-fixed.Game.addChallenge","7,907",0.65,0.02,0.11,0.00,"racing-game-fixed.py",
"pygame.key.get_pressed","7,907",0.02,0.02,0.00,0.00,"pygame.key",
"racing-game-fixed.Game.processPlayer","7,907",0.04,0.02,0.01,0.00,"racing-game-fixed.py",
"__build_class__",233,0.04,0.02,0.23,0.10,"builtins",
"len","614,719",0.02,0.02,0.00,0.00,"builtins",
"racing-game-fixed.AnimatedTexture.__init__",274,1.99,0.02,9.79,0.08,"racing-game-fixed.py",
"pygame.pkgdata (module)",1,0.18,0.01,242.67,20.10,"pkgdata.py",
"shutil (module)",1,0.03,0.01,37.71,19.04,"shutil.py",
"racing-game-fixed.Road.display","7,907",2.73,0.01,0.47,0.00,"racing-game-fixed.py",
"racing-game-fixed.GUI.beginDraw","7,907",0.93,0.01,0.16,0.00,"racing-game-fixed.py",
"racing-game-fixed.Camera.update","7,907",0.01,0.01,0.00,0.00,"racing-game-fixed.py",
"time.time","11,538",0.01,0.01,0.00,0.00,"time",
"sre_compile._optimize_unicode",3,0.01,0.01,5.41,4.87,"sre_compile.py",
"racing-game-fixed.GUI.endDraw","7,907",1.11,0.01,0.19,0.00,"racing-game-fixed.py",
"email.utils (module)",1,0.02,0.01,30.38,13.29,"utils.py",
"racing-game-fixed (module)",1,100.00,0.01,"135,021.93",12.00,"racing-game-fixed.py",
"pickle (module)",1,0.01,0.01,12.70,11.34,"pickle.py",
"exec",5,0.01,0.01,2.40,2.02,"builtins",
"multiprocessing (module)",1,0.02,0.01,30.92,9.23,"__init__.py",
"email.message (module)",1,0.05,0.01,62.01,8.85,"message.py",
"pygame.display.set_mode",1,0.19,0.01,251.11,7.87,"pygame.display",
"pygame.threads (module)",1,0.03,0.01,39.48,7.83,"__init__.py",
"tarfile (module)",1,0.01,0.01,13.64,7.75,"tarfile.py",
"racing-game-fixed.Car.slow","10,452",0.01,0.01,0.00,0.00,"racing-game-fixed.py",
"racing-game-fixed.Car.act","7,907",0.01,0.01,0.00,0.00,"racing-game-fixed.py",
"sre_parse.__next","7,705",0.01,0.01,0.00,0.00,"sre_parse.py",
"racing-game-fixed.AnimatedTexture.update","3,171",0.01,0.00,0.00,0.00,"racing-game-fixed.py",
"sre_parse._parse",321,0.01,0.00,0.07,0.02,"sre_parse.py",
"pygame.surfarray (module)",1,0.01,0.00,9.70,5.08,"surfarray.py",
"racing-game-fixed.AnimatedTexture.scaleTo",274,0.69,0.00,3.39,0.02,"racing-game-fixed.py",
"pygame.compat.get_BytesIO",1,0.00,0.00,4.32,4.32,"compat.py",
"pygame._numpysurfarray (module)",1,0.00,0.00,4.29,4.29,"_numpysurfarray.py",
"tempfile (module)",1,0.00,0.00,4.70,4.25,"tempfile.py",
"pygame._numpysndarray (module)",1,0.00,0.00,4.16,4.16,"_numpysndarray.py",
"zipfile (module)",1,0.03,0.00,43.52,4.13,"zipfile.py",
"copy (module)",1,0.00,0.00,4.28,4.12,"copy.py",
"multiprocessing.util (module)",1,0.00,0.00,6.29,4.07,"util.py",
"plistlib (module)",1,0.01,0.00,6.97,4.00,"plistlib.py",
"fnmatch (module)",1,0.00,0.00,4.66,3.86,"fnmatch.py",
"hashlib (module)",1,0.00,0.00,3.86,3.83,"hashlib.py",
"socket (module)",1,0.00,0.00,4.15,3.78,"socket.py",
"email._parseaddr (module)",1,0.00,0.00,5.04,3.70,"_parseaddr.py",
"platform (module)",1,0.01,0.00,7.18,3.55,"platform.py",
"random (module)",1,0.01,0.00,7.60,3.48,"random.py",
"racing-game-fixed.AnimatedTexture.advanceFrame","2,654",0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"sre_compile._optimize_charset",204,0.01,0.00,0.10,0.02,"sre_compile.py",
"racing-game-fixed.Explosion.update","3,171",0.01,0.00,0.00,0.00,"racing-game-fixed.py",
"racing-game-fixed.Game.addNormalCar",185,0.62,0.00,4.49,0.01,"racing-game-fixed.py",
"racing-game-fixed.Sprite.update","15,814",0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"racing-game-fixed.PlayerCar.hit","2,699",0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"isinstance","11,977",0.00,0.00,0.00,0.00,"builtins",
"email.header (module)",1,0.00,0.00,4.41,2.27,"header.py",
"racing-game-fixed.PlayerCar.goStraight","6,657",0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"sre_compile._compile",594,0.02,0.00,0.04,0.00,"sre_compile.py",
"racing-game-fixed.NormalCar.__init__",185,0.59,0.00,4.30,0.01,"racing-game-fixed.py",
"sre_parse.Tokenizer.get","7,044",0.01,0.00,0.00,0.00,"sre_parse.py",
"racing-game-fixed.Sprite.__init__",277,0.69,0.00,3.36,0.01,"racing-game-fixed.py",
"racing-game-fixed.GameObject.hit","18,774",0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"list.append","13,732",0.00,0.00,0.00,0.00,"Unidentifiable Method",
"email.feedparser (module)",1,0.05,0.00,66.13,1.61,"feedparser.py",
"dict.setdefault",798,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"sre_parse.SubPattern.getwidth",825,0.00,0.00,0.00,0.00,"sre_parse.py",
"nt._isdir",16,0.00,0.00,0.09,0.09,"nt",
"nt.listdir",10,0.00,0.00,0.13,0.13,"nt",
"pygame.sprite (module)",1,0.00,0.00,2.70,1.26,"sprite.py",
"genericpath._splitext",282,0.00,0.00,0.01,0.00,"genericpath.py",
"racing-game-fixed.Game.init",1,0.33,0.00,448.72,1.12,"racing-game-fixed.py",
"random.Random._randbelow",370,0.00,0.00,0.01,0.00,"random.py",
"pygame.sndarray (module)",1,0.00,0.00,5.19,1.03,"sndarray.py",
"racing-game-fixed.Game.__init__",1,99.91,0.00,"134,900.72",1.03,"racing-game-fixed.py",
"nt.urandom",2,0.00,0.00,0.50,0.50,"nt",
"nt.access",10,0.00,0.00,0.10,0.10,"nt",
"racing-game-fixed.GUI.__init__",1,0.19,0.00,253.00,0.96,"racing-game-fixed.py",
"racing-game-fixed.GameObject.explode",89,2.09,0.00,31.70,0.01,"racing-game-fixed.py",
"racing-game-fixed.AnimatedTexture.start",274,0.00,0.00,0.00,0.00,"racing-game-fixed.py",
"ntpath.splitext",282,0.00,0.00,0.01,0.00,"ntpath.py",
