Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,
"Unidentifiable Method","706,887",59.34,59.34,0.11,0.11,
"racing-game-fixed.py","54,595,520",100.00,35.14,"135,021.93",0.00,
"pygame.imageext","3,043",1.79,1.79,0.80,0.80,
"pygame.display","7,909",1.29,1.11,0.22,0.19,
"pygame.event","7,907",0.75,0.75,0.13,0.13,
"pygame.transform","3,043",0.68,0.68,0.30,0.30,
"builtins","29,962,636",0.63,0.61,0.00,0.00,
"pygame.base",3,0.30,0.30,134.27,134.27,
"__init__.py",478,0.16,0.04,72.92,0.10,
"__init__.py",5,0.07,0.03,98.13,7.51,
"pygame.key","7,907",0.02,0.02,0.00,0.00,
"sre_compile.py","2,199",0.03,0.02,0.03,0.01,
"pkgdata.py",2,0.18,0.01,121.62,10.08,
"sre_parse.py","23,911",0.02,0.01,0.00,0.00,
"shutil.py",6,0.03,0.01,37.71,3.17,
"time","11,538",0.01,0.01,0.00,0.00,
"utils.py",1,0.02,0.01,30.38,13.29,
"pickle.py",8,0.01,0.01,12.70,1.43,
"message.py",2,0.05,0.01,62.01,4.76,
"__init__.py",5,0.02,0.01,30.92,1.85,
"__init__.py",3,0.03,0.01,39.48,2.61,
"tarfile.py",21,0.01,0.01,13.64,0.37,
"zipfile.py",379,0.03,0.00,0.34,0.02,
"random.py",745,0.01,0.00,0.02,0.01,
"nt",55,0.00,0.00,0.09,0.09,
"surfarray.py",1,0.01,0.00,9.70,5.08,
"compat.py",5,0.00,0.00,0.87,0.87,
"tempfile.py",5,0.00,0.00,4.70,0.86,
"_numpysurfarray.py",1,0.00,0.00,4.29,4.29,
"_numpysndarray.py",1,0.00,0.00,4.16,4.16,
"copy.py",3,0.00,0.00,4.28,1.37,
"util.py",4,0.00,0.00,6.29,1.02,
"plistlib.py",8,0.01,0.00,6.97,0.50,
"fnmatch.py",1,0.00,0.00,4.66,3.86,
"hashlib.py",7,0.00,0.00,3.86,0.55,
"socket.py",3,0.00,0.00,4.15,1.26,
"_parseaddr.py",3,0.00,0.00,5.04,1.23,
"platform.py",2,0.01,0.00,7.18,1.78,
"ntpath.py","1,751",0.00,0.00,0.00,0.00,
"header.py",4,0.00,0.00,4.41,0.57,
"feedparser.py",4,0.05,0.00,66.13,0.41,
"version.py",111,0.00,0.00,0.08,0.01,
"sprite.py",12,0.00,0.00,2.70,0.11,
"genericpath.py",283,0.00,0.00,0.01,0.00,
"sndarray.py",1,0.00,0.00,5.19,1.03,
"datetime.py",47,0.00,0.00,1.48,0.02,
"parse.py",15,0.00,0.00,6.55,0.06,
"threading.py",32,0.00,0.00,1.80,0.03,
"_codecs",502,0.00,0.00,0.00,0.00,
"parser.py",4,0.05,0.00,67.26,0.20,
"cp850.py",382,0.00,0.00,0.00,0.00,
"re.py",303,0.03,0.00,0.15,0.00,
"specifiers.py",14,0.01,0.00,13.03,0.04,
"__init__.py",1,0.00,0.00,0.43,0.42,
"calendar.py",19,0.00,0.00,1.08,0.02,
"abc.py",28,0.00,0.00,0.04,0.01,
"process.py",5,0.00,0.00,2.23,0.06,
"_weakrefset.py",82,0.00,0.00,0.00,0.00,
"quoprimime.py",259,0.00,0.00,0.44,0.00,
"collections.py",253,0.01,0.00,0.14,0.00,
"pkgutil.py",29,0.00,0.00,0.02,0.01,
"subprocess.py",5,0.00,0.00,0.71,0.04,
"_sre",614,0.00,0.00,0.00,0.00,
"functools.py",18,0.00,0.00,0.04,0.01,
"os.py",5,0.00,0.00,0.05,0.04,
"_compat_pickle.py",64,0.00,0.00,0.16,0.00,
"io",2,0.00,0.00,0.08,0.08,
"base64.py",3,0.00,0.00,0.16,0.05,
"string.py",6,0.00,0.00,3.02,0.02,
"(string)",17,0.00,0.00,0.11,0.01,
"sysfont.py",1,0.00,0.00,0.10,0.10,
"warnings.py",6,0.00,0.00,0.06,0.02,
"types.py",3,0.00,0.00,0.15,0.03,
"__future__.py",10,0.00,0.00,0.15,0.01,
"_compat.py",4,0.00,0.00,0.06,0.02,
"_abcoll.py",9,0.00,0.00,0.34,0.01,
"symbol.py",1,0.00,0.00,0.06,0.06,
"copyreg.py",6,0.00,0.00,0.01,0.01,
"weakref.py",2,0.00,0.00,0.05,0.03,
"_struct",127,0.00,0.00,0.00,0.00,
"charset.py",4,0.00,0.00,0.06,0.01,
"cp437.py",120,0.00,0.00,0.00,0.00,
"queue.py",6,0.00,0.00,0.38,0.01,
"colordict.py",1,0.00,0.00,0.03,0.03,
"errors.py",14,0.00,0.00,1.46,0.00,
"_thread",6,0.00,0.00,0.00,0.00,
"posixpath.py",1,0.00,0.00,0.02,0.02,
"textwrap.py",2,0.00,0.00,1.11,0.01,
"_structures.py",15,0.00,0.00,0.01,0.00,
"quopri.py",1,0.00,0.00,0.01,0.01,
"uu.py",2,0.00,0.00,0.09,0.01,
"base64mime.py",1,0.00,0.00,0.01,0.01,
"iterators.py",1,0.00,0.00,0.01,0.01,
"sysconfig.py",1,0.00,0.00,0.01,0.01,
"sys",14,0.00,0.00,0.00,0.00,
"encoders.py",1,0.00,0.00,0.01,0.01,
"__about__.py",1,0.00,0.00,0.01,0.01,
"math",4,0.00,0.00,0.00,0.00,
"_hashlib",6,0.00,0.00,0.00,0.00,
"__init__.py",1,0.00,0.00,0.00,0.00,
"Constants.py",1,0.00,0.00,0.00,0.00,
"cursors.py",1,0.00,0.00,0.00,0.00,
"pygame.time",1,0.00,0.00,0.00,0.00,
"Unknown",1,0.00,0.00,0.00,0.00,
"version.py",1,0.00,0.00,0.00,0.00,
"imp",8,0.00,0.00,0.00,0.00,
"atexit",1,0.00,0.00,0.00,0.00,
"_weakref",1,0.00,0.00,0.00,0.00,
"__init__.py",1,0.00,0.00,0.00,0.00,
"__init__.py",1,0.00,0.00,0.00,0.00,
